pocet_osob,pocet_exekuci,nazev_obce,kod_obce_zuj,obvod_orp,okres,kraj
54,283,"Želechovice nad Dřevnicí",500011,7213,Zlín,"Zlínský kraj"
50,226,"Petrov nad Desnou",500020,7111,Šumperk,"Olomoucký kraj"
28,160,Libhošť,500046,8115,"Nový Jičín","Moravskoslezský kraj"
36,147,Krhová,500062,7210,Vsetín,"Zlínský kraj"
18,74,Poličná,500071,7210,Vsetín,"Zlínský kraj"
38,202,Bražec,500101,4103,"Karlovy Vary","Karlovarský kraj"
14,98,"Doupovské Hradiště",500127,4106,"Karlovy Vary","Karlovarský kraj"
24,232,Kozlov,500135,7107,Olomouc,"Olomoucký kraj"
6,16,"Luboměř pod Strážnou",500151,7101,Přerov,"Olomoucký kraj"
100,655,"Město Libavá",500160,7110,Olomouc,"Olomoucký kraj"
52,354,"Polná na Šumavě",500194,3103,"Český Krumlov","Jihočeský kraj"
46,209,Veřovice,500259,8105,"Nový Jičín","Moravskoslezský kraj"
36,214,Vřesina,500291,8119,Ostrava-město,"Moravskoslezský kraj"
6338,43354,Olomouc,500496,7107,Olomouc,"Olomoucký kraj"
67,340,Bělkovice-Lašťany,500526,7107,Olomouc,"Olomoucký kraj"
38,231,"Bílá Lhota",500623,7105,Olomouc,"Olomoucký kraj"
25,117,Blatec,500801,7107,Olomouc,"Olomoucký kraj"
74,491,Bohuňovice,500852,7107,Olomouc,"Olomoucký kraj"
60,410,Bouzov,500861,7105,Olomouc,"Olomoucký kraj"
29,164,Bystročice,500879,7107,Olomouc,"Olomoucký kraj"
102,527,"Dlouhá Loučka",501476,7112,Olomouc,"Olomoucký kraj"
65,436,Dolany,501646,7107,Olomouc,"Olomoucký kraj"
67,439,Drahanovice,501751,7107,Olomouc,"Olomoucký kraj"
63,342,"Dub nad Moravou",501794,7107,Olomouc,"Olomoucký kraj"
64,416,Grygov,501841,7107,Olomouc,"Olomoucký kraj"
239,1329,Hlubočky,502146,7107,Olomouc,"Olomoucký kraj"
53,270,Hněvotín,502235,7107,Olomouc,"Olomoucký kraj"
29,165,Hnojice,502405,7110,Olomouc,"Olomoucký kraj"
108,669,"Horka nad Moravou",502545,7107,Olomouc,"Olomoucký kraj"
15,78,Cholina,502839,7105,Olomouc,"Olomoucký kraj"
37,201,Jívová,503142,7110,Olomouc,"Olomoucký kraj"
20,143,Kožušany-Tážaly,503304,7107,Olomouc,"Olomoucký kraj"
7,51,Žitovlice,503410,2118,Nymburk,"Středočeský kraj"
423,2985,Litovel,503444,7105,Olomouc,"Olomoucký kraj"
26,96,Luká,503622,7105,Olomouc,"Olomoucký kraj"
135,802,Lutín,503657,7107,Olomouc,"Olomoucký kraj"
35,224,Majetín,503738,7107,Olomouc,"Olomoucký kraj"
54,356,Kostelec,503916,3213,Tachov,"Plzeňský kraj"
27,165,Mladeč,504246,7105,Olomouc,"Olomoucký kraj"
11,68,Dřenice,504301,5304,Chrudim,"Pardubický kraj"
57,390,Náklo,504441,7105,Olomouc,"Olomoucký kraj"
70,296,"Náměšť na Hané",504505,7107,Olomouc,"Olomoucký kraj"
66,348,Paseka,504785,7112,Olomouc,"Olomoucký kraj"
5,46,Lány,504807,5304,Chrudim,"Pardubický kraj"
5,28,Třibřichy,504921,5304,Chrudim,"Pardubický kraj"
5,14,Dvakačovice,504955,5304,Chrudim,"Pardubický kraj"
6,36,Bítovany,505005,5304,Chrudim,"Pardubický kraj"
39,183,Příkazy,505013,7107,Olomouc,"Olomoucký kraj"
7,31,"Dolní Bezděkov",505030,5304,Chrudim,"Pardubický kraj"
63,430,"Senice na Hané",505081,7105,Olomouc,"Olomoucký kraj"
6,40,"Červená Hora",505099,5209,Náchod,"Královéhradecký kraj"
48,253,Slatinice,505111,7107,Olomouc,"Olomoucký kraj"
119,851,"Březová nad Svitavou",505145,5312,Svitavy,"Pardubický kraj"
169,1201,Štěpánov,505161,7107,Olomouc,"Olomoucký kraj"
771,5417,Šternberk,505188,7110,Olomouc,"Olomoucký kraj"
50,290,Šumvald,505218,7112,Olomouc,"Olomoucký kraj"
59,386,Těšetice,505269,7107,Olomouc,"Olomoucký kraj"
62,374,Troubelice,505293,7112,Olomouc,"Olomoucký kraj"
63,370,Tršice,505366,7107,Olomouc,"Olomoucký kraj"
10,68,"Bělá u Jevíčka",505391,5308,Svitavy,"Pardubický kraj"
123,679,Újezd,505501,7112,Olomouc,"Olomoucký kraj"
12,77,Jenčice,505528,4208,Litoměřice,"Ústecký kraj"
707,4242,Uničov,505587,7112,Olomouc,"Olomoucký kraj"
131,836,"Velká Bystřice",505609,7107,Olomouc,"Olomoucký kraj"
84,390,"Velký Týnec",505650,7107,Olomouc,"Olomoucký kraj"
35,271,"Velký Újezd",505668,7107,Olomouc,"Olomoucký kraj"
41,250,Zápy,505781,2103,Praha-východ,"Středočeský kraj"
10,60,Žerotín,505862,7110,Olomouc,"Olomoucký kraj"
3292,18082,Opava,505927,8117,Opava,"Moravskoslezský kraj"
44,238,Bohuslavice,506192,8109,Opava,"Moravskoslezský kraj"
85,353,Bolatice,506214,8113,Opava,"Moravskoslezský kraj"
51,215,Brumovice,506320,8117,Opava,"Moravskoslezský kraj"
31,198,Březová,506451,8122,Opava,"Moravskoslezský kraj"
320,1660,"Budišov nad Budišovkou",506460,8122,Opava,"Moravskoslezský kraj"
14,72,"Boží Dar",506486,4106,"Karlovy Vary","Karlovarský kraj"
13,40,"Nové Hamry",506494,4103,"Karlovy Vary","Karlovarský kraj"
30,146,Čichalov,506621,4103,"Karlovy Vary","Karlovarský kraj"
13,86,Skořice,506664,3211,Rokycany,"Plzeňský kraj"
9,47,Otmarov,506699,6221,Brno-venkov,"Jihomoravský kraj"
154,842,"Dolní Benešov",506702,8109,Opava,"Moravskoslezský kraj"
15,115,"Dolní Lhota",506711,8119,Ostrava-město,"Moravskoslezský kraj"
34,144,Dvorce,506729,6105,Jihlava,"Kraj Vysočina"
76,398,Chvalčov,506737,7201,Kroměříž,"Zlínský kraj"
71,351,"Háj ve Slezsku",506753,8117,Opava,"Moravskoslezský kraj"
11,63,Alojzov,506761,7108,Prostějov,"Olomoucký kraj"
22,123,Seloutky,506770,7108,Prostějov,"Olomoucký kraj"
746,4158,Hlučín,507016,8109,Opava,"Moravskoslezský kraj"
53,264,Nýdek,507091,8121,Frýdek-Místek,"Moravskoslezský kraj"
9,26,Hněvošice,507105,8117,Opava,"Moravskoslezský kraj"
29,173,Holasovice,507113,8117,Opava,"Moravskoslezský kraj"
31,160,Pržno,507181,8107,Frýdek-Místek,"Moravskoslezský kraj"
36,186,"Komorní Lhotka",507237,8121,Frýdek-Místek,"Moravskoslezský kraj"
